TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 08:27 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
2023,2023,100.0000,2015,99.6045,8,828382,464008,56.0137

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNE,VALOR UNIONISTA,PR,CAMBIO,AZUL,MLP,VICTORIA,VAMOS,PHG,BIEN,UR,P A N,PIN,FCN-NACION,COMITE CIVICO LA GOTA DE AGUA,PPN,FOPPA X LA CIUDAD,MI FAMILIA,CABAL,VIVA,PODEMOS,PODER,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
1105,"Distrito Central",0,"Guatemala",1,84,400,2,46,109,0,2,7,0,2,5,0,2,0,2,2,0,0,6,28,0,3,2,7,0,59,284,13,1,298,0,298,--,400,102,284,298,298,Algún campo sin dato,1,5a3569d446d3bf20017cf36a470adc556dfb8d46c0817c5b6a94cc3f911f834c,25/06/2023 23:50:20,ESCANER
1106,"Distrito Central",0,"Guatemala",1,84,400,7,57,106,0,1,11,0,3,4,0,0,3,1,2,0,1,2,19,0,3,8,10,1,42,281,9,0,290,0,290,--,400,111,281,290,290,Algún campo sin dato,1,55f2efdfc5248ba6667da1437cccce32278864083f76d44b1ae98396434fe6c5,26/06/2023 01:54:42,ESCANER
1107,"Distrito Central",0,"Guatemala",1,84,400,3,65,91,1,3,12,0,2,1,0,1,0,1,0,0,2,1,20,1,1,1,9,0,46,261,13,4,278,0,278,--,400,122,261,278,278,Algún campo sin dato,1,4e524b44cae83df46e3f8078b491c6c7ca19e0e0a3403ed6a451fd65350c490d,26/06/2023 01:34:48,ESCANER
1108,"Distrito Central",0,"Guatemala",1,84,400,3,54,80,0,3,9,0,3,0,0,3,0,2,0,2,0,3,36,0,2,2,15,0,52,269,8,0,277,126,403,--,404,126,269,277,403,Algún campo sin dato,1,08e2b5f968c0a01cb7c002d6cbbbb9060a642b8612d629f00b436b32e69df051,26/06/2023 02:26:00,ESCANER
1109,"Distrito Central",0,"Guatemala",1,84,400,5,51,83,0,5,14,1,0,3,1,3,1,2,0,0,0,4,31,2,0,8,6,0,49,269,13,1,283,0,283,--,--,--,269,283,283,Algún campo sin dato,1,247b0fa1cf62fd1b15e81d9d33d1fa020242315fb131366cdc3a119462f405e9,25/06/2023 23:19:59,ESCANER
1110,"Distrito Central",0,"Guatemala",1,84,400,6,50,80,0,4,9,1,6,2,0,4,0,1,0,2,0,1,35,2,1,2,11,0,61,278,12,1,291,0,291,--,400,109,278,291,291,Algún campo sin dato,1,e0714a863ca0824093a206de57bf5c112a0a42455f594465cfd4e9ea37a34913,25/06/2023 23:04:36,ESCANER
1111,"Distrito Central",0,"Guatemala",1,84,400,6,45,88,0,1,8,0,1,8,1,2,1,2,0,0,0,2,26,2,3,6,8,1,58,269,9,2,280,0,280,--,400,120,269,280,280,Algún campo sin dato,1,ffa7efadb63185db806fe09b8559504a1244feedb1cb2975d49d07b59b4cdb9a,26/06/2023 02:48:50,ESCANER
1112,"Distrito Central",0,"Guatemala",1,84,400,3,38,101,0,0,8,1,2,4,1,3,0,1,2,1,0,0,37,1,1,6,8,1,55,274,13,1,288,0,288,--,404,116,274,288,288,Algún campo sin dato,1,6023964268b7ce4bb0b2d4c4ac1131a3550e0b6df2e226baaf2cea8b7b452398,25/06/2023 23:52:00,ESCANER
1113,"Distrito Central",0,"Guatemala",1,84,400,9,45,114,0,1,8,0,2,1,0,1,3,3,1,2,0,1,30,1,3,3,8,0,48,284,7,2,293,0,293,--,402,103,284,293,293,Algún campo sin dato,1,91671734aec8be8aa08a70ba414bc0c29f8019f4e68449b3ce227e6c01c2f19a,25/06/2023 22:47:36,ESCANER
1114,"Distrito Central",0,"Guatemala",1,84,400,6,47,100,0,6,13,0,1,6,0,4,0,2,0,0,1,3,27,2,3,5,7,1,57,291,10,1,302,0,302,--,404,102,291,302,302,Algún campo sin dato,1,0ccc79df2202ad5ce7704af216c23695e3890e3c3a1599bd680f904dc96bfa3f,25/06/2023 22:09:56,ESCANER
1115,"Distrito Central",0,"Guatemala",1,84,400,17,60,83,0,4,10,0,0,4,0,4,0,3,0,0,0,0,24,0,1,2,5,1,43,261,12,0,273,0,273,--,400,127,261,273,273,Algún campo sin dato,1,d07e2dbf94a1ede01964117675ddd5e1471176c3c93cccecbd2cb466d924f9e7,26/06/2023 01:25:49,ESCANER
1116,"Distrito Central",0,"Guatemala",1,84,400,5,54,84,0,3,4,1,1,2,0,1,0,2,1,0,2,1,23,4,1,2,10,0,55,256,14,2,272,0,272,--,397,123,256,272,272,Algún campo sin dato,1,2f35b0c6c434d8eee19b4fa6c15acebc1fe5344419e4cf0385e6b98d05b546bf,26/06/2023 01:09:00,ESCANER
1117,"Distrito Central",0,"Guatemala",1,84,400,10,54,92,1,1,4,0,4,3,0,3,0,2,0,0,2,1,31,0,3,2,8,1,61,283,12,2,297,0,297,--,400,103,283,297,297,Algún campo sin dato,1,97af2430fbcfb2e6a1454cb1b4d575b14c91fd16e4a83c8e10d62536e312b798,26/06/2023 02:17:06,ESCANER
1118,"Distrito Central",0,"Guatemala",1,84,400,9,63,75,0,7,3,0,1,3,1,0,2,0,1,3,1,1,28,3,2,2,6,1,49,261,14,1,276,0,276,--,400,124,261,276,276,Algún campo sin dato,1,e9aaaded290f146606dec73a6247dab9ca96f21406a5e8df7d5c0ac26ad48123,26/06/2023 00:06:50,ESCANER
1119,"Distrito Central",0,"Guatemala",1,84,400,6,49,74,0,0,13,0,3,1,0,4,0,1,1,0,0,2,31,0,0,2,13,3,61,264,7,0,271,3,274,--,400,126,264,271,274,Algún campo sin dato,1,c97a0b325bfd48eb1568aea3f9d576424db370820338049761adf555216f73b1,25/06/2023 22:33:15,ESCANER
1120,"Distrito Central",0,"Guatemala",1,84,400,3,29,80,0,6,5,0,2,1,0,4,0,1,1,1,0,1,40,0,2,0,19,0,51,246,11,1,258,0,258,--,--,--,246,258,258,Algún campo sin dato,1,93d18818a8ffeffd1aaf89b8aad033dda906d44d633ff53eb1c54242931108f9,26/06/2023 02:57:07,ESCANER
1121,"Distrito Central",0,"Guatemala",1,84,325,0,35,51,0,1,7,0,7,2,2,3,0,1,1,1,0,1,51,1,3,3,14,0,25,209,9,1,219,0,219,--,325,106,209,219,219,Algún campo sin dato,1,615f9a123007ac2e49856a9103ff71f244156f6aa2e8421902e60211a76cf8b5,26/06/2023 00:37:28,ESCANER
1122,"Distrito Central",0,"Guatemala",1,84,324,3,28,52,0,2,4,1,2,1,0,5,0,2,0,2,0,2,35,1,1,2,9,0,27,179,8,1,188,0,188,--,324,136,179,188,188,Algún campo sin dato,1,3d72f9d668852a6f07517b0fd2ea1223d8031fdd8cf97987c39bcf76b4d63d2c,26/06/2023 01:52:18,ESCANER
1123,"Distrito Central",0,"Guatemala",1,85,400,6,22,106,0,2,12,0,0,6,1,2,0,1,0,0,0,0,29,0,2,3,5,2,68,267,18,0,285,0,285,--,400,115,267,285,285,Algún campo sin dato,1,ea4ca894c232fb0c8f1f61ab0fe140dd2bcdb0797f420de5326c703e58a03a43,25/06/2023 21:16:46,ESCANER
1124,"Distrito Central",0,"Guatemala",1,85,400,5,18,121,0,3,9,0,1,3,0,4,0,0,1,0,1,0,30,0,2,2,9,0,69,278,11,0,289,0,289,--,400,111,278,289,289,Algún campo sin dato,1,10d7039b3a6784f43d76ee22c8b040417de16e4cf7ead1d869ee213f2ac8ce23,26/06/2023 00:27:40,ESCANER
1125,"Distrito Central",0,"Guatemala",1,85,400,5,14,134,0,1,9,0,2,4,0,1,0,0,0,0,0,1,27,1,0,5,15,1,69,290,10,0,300,0,300,0,397,97,289,299,299,Sumas Asentadas sin cuadrar,1,c0b7b025ec46c162c53afa3dd5b35112fafc90d8921df2ec153239e518822d82,25/06/2023 22:55:37,ESCANER
1126,"Distrito Central",0,"Guatemala",1,85,400,7,16,128,0,1,6,1,0,4,0,1,1,1,1,1,1,0,33,0,1,2,6,3,81,295,11,0,306,0,306,--,400,94,295,306,306,Algún campo sin dato,1,1c88d83200b1f84e36d1a79858eb6b37cf15f2bf0a0483e8ad138a319fc36251,25/06/2023 21:08:12,ESCANER
1127,"Distrito Central",0,"Guatemala",1,85,400,11,15,123,0,2,14,0,0,5,0,2,1,1,2,0,1,1,26,1,3,6,4,1,58,277,5,1,283,0,283,--,400,117,277,283,283,Algún campo sin dato,1,ac571cd6135d895f9bcbe074cd0ad870f6e77e476a22b0e393f57b2144279dc0,25/06/2023 21:34:38,ESCANER
1128,"Distrito Central",0,"Guatemala",1,85,400,9,15,104,0,1,14,0,1,7,0,1,1,0,1,0,0,0,33,1,0,4,4,1,58,255,21,1,277,0,277,--,400,123,255,277,277,Algún campo sin dato,1,2a99e71c7aaaee83243da4902ab3842f4e81e30badabbd75e126815122fdef7a,25/06/2023 22:33:46,ESCANER
1129,"Distrito Central",0,"Guatemala",1,85,400,9,25,112,1,1,15,0,0,5,1,11,1,1,0,0,0,2,27,0,3,3,5,0,62,275,9,0,284,0,284,--,400,116,284,293,293,Sumas Asentadas sin cuadrar,1,b57d61e9044731617aeebe2db9de0c2436d5b67ac98c78ef86b8d4364402ca19,26/06/2023 00:25:50,ESCANER
1130,"Distrito Central",0,"Guatemala",1,85,400,3,16,97,0,0,10,0,0,5,1,4,1,3,1,0,0,2,39,0,2,3,10,1,63,261,8,1,270,0,270,--,400,130,261,270,270,Algún campo sin dato,1,4d304d2487b3d90aa7c1ae0fbfc8fcb50fc13b45cbe5af59836f96d8171df88a,25/06/2023 23:36:47,ESCANER
1131,"Distrito Central",0,"Guatemala",1,85,400,11,15,99,0,2,13,1,1,3,0,4,0,0,0,1,0,0,26,1,0,5,10,0,63,255,13,1,269,0,269,--,400,131,255,269,269,Algún campo sin dato,1,7fa85c6da7b5e41f328bd705303881f765e1ea0212385b7b3e0d1e954d9805ab,25/06/2023 22:38:41,ESCANER
1132,"Distrito Central",0,"Guatemala",1,85,400,12,20,105,0,1,11,0,1,0,0,3,0,0,0,0,1,2,29,1,3,5,6,0,82,282,9,0,291,0,291,--,291,109,282,291,291,Algún campo sin dato,1,eaaef8898d9fcf04c043f1a58fefc33803d592502d978cb6f8c099125a882c6e,25/06/2023 22:42:36,ESCANER
1133,"Distrito Central",0,"Guatemala",1,85,400,7,16,115,0,2,19,0,0,3,0,2,0,3,1,1,0,0,23,1,3,1,5,0,76,278,9,0,287,0,287,--,400,113,278,287,287,Algún campo sin dato,1,56238f0d2bd284231dc1fe4c7e9d114496458277622fbd56d1cedc18229c4c22,25/06/2023 23:04:53,ESCANER
1134,"Distrito Central",0,"Guatemala",1,85,400,10,21,112,1,1,13,0,1,7,0,5,0,1,0,0,0,1,31,0,4,3,6,0,75,292,15,1,308,0,308,--,400,92,292,308,308,Algún campo sin dato,1,fbc5ae8c18f7eda5e6cf1ddeef69ac0c123938d48892445c0d36c9d31543dc77,26/06/2023 00:04:25,ESCANER
1135,"Distrito Central",0,"Guatemala",1,85,400,10,16,96,0,0,13,1,2,6,0,6,1,1,1,0,0,0,33,2,1,7,13,0,60,269,10,0,279,0,279,--,400,121,269,279,279,Algún campo sin dato,1,f8a8e563129ca9b719656b9bd869cebee0caf5e724374b9cd7e3054031b891dd,25/06/2023 23:09:33,ESCANER
1136,"Distrito Central",0,"Guatemala",1,85,400,6,13,106,0,2,10,1,2,4,0,2,0,2,0,0,2,0,34,0,5,5,4,0,88,286,12,0,298,0,298,--,--,--,286,298,298,Algún campo sin dato,1,0379da61174676f2e7fc6c03f78b34d5593854b98ffb1592596b73abde3d290c,26/06/2023 00:15:48,ESCANER
1137,"Distrito Central",0,"Guatemala",1,85,400,9,25,127,0,1,11,0,1,4,0,1,0,2,0,0,1,0,28,0,0,5,8,0,68,291,10,0,301,0,301,--,400,99,291,301,301,Algún campo sin dato,1,63984ab54ee0a6750feef9cd41f127735c6569d1ef2ee785971949e9eb68d5b4,25/06/2023 23:10:13,ESCANER
1138,"Distrito Central",0,"Guatemala",1,86,400,6,23,127,0,0,15,1,2,7,0,5,0,3,0,1,2,0,32,0,2,3,8,0,69,306,5,0,311,0,311,--,400,89,306,311,311,Algún campo sin dato,1,48cc0bf8a8219b47b28dff3921391407cf4ffa3a8f1bbafea5d20acffd95ccbc,26/06/2023 05:59:37,ESCANER
1139,"Distrito Central",0,"Guatemala",1,86,400,1,8,116,0,2,9,0,2,8,0,0,0,1,0,0,0,0,27,1,3,5,2,1,81,267,11,0,278,0,278,--,400,122,267,278,278,Algún campo sin dato,1,c776e3e98312d53b319ad243d8eade9a8ff1ecb520224084c0ad9e33d3ae4b98,25/06/2023 23:57:04,ESCANER
1140,"Distrito Central",0,"Guatemala",1,86,400,8,11,105,--,1,13,--,--,6,2,5,--,2,1,1,--,--,34,--,3,1,4,--,78,275,11,--,286,--,286,--,400,114,275,286,286,Algún campo sin dato,1,1d7af8fa5dade8c42313be9dedf3fc064960c7ec3d9be4b08ebcaf1f8619fd17,26/06/2023 00:19:32,ESCANER
1141,"Distrito Central",0,"Guatemala",1,86,400,8,7,105,0,2,10,1,6,3,1,3,0,1,1,1,0,0,34,0,2,2,9,1,75,272,12,0,284,116,400,--,400,116,272,284,400,Algún campo sin dato,1,a7391d80c397bed9a72e987ac967752217194922b18e01d63c6dea0bd9b3cfa7,26/06/2023 00:24:33,ESCANER
1142,"Distrito Central",0,"Guatemala",1,86,400,12,24,123,0,1,8,0,0,2,1,4,0,2,1,0,0,0,19,0,1,2,11,0,74,285,6,0,291,0,291,--,400,109,285,291,291,Algún campo sin dato,1,9956801a8cbfeb652389b6e17a173eed811c1901904d8f1cace1d81b8010e4e9,25/06/2023 22:11:45,ESCANER
1143,"Distrito Central",0,"Guatemala",1,86,400,10,20,90,0,2,11,0,0,5,0,3,0,1,0,1,1,3,39,2,0,8,8,4,83,291,7,0,298,0,298,--,--,--,291,298,298,Algún campo sin dato,1,7045a9ef8d77d503aaae39bc9faa78e0ec8615511ce32292199e653b2fd7b318,25/06/2023 21:42:35,ESCANER
1144,"Distrito Central",0,"Guatemala",1,86,400,7,11,105,1,0,7,0,0,6,0,4,2,1,0,0,3,0,22,0,1,1,4,0,79,254,9,0,263,0,263,--,397,134,254,263,263,Algún campo sin dato,1,c1df67709a04f31e59fce135abf67743adb85646fcf939cac53cf0b39cc04303,25/06/2023 23:15:38,ESCANER
1145,"Distrito Central",0,"Guatemala",1,86,400,15,7,79,0,2,11,0,0,5,0,1,0,1,0,0,0,1,38,1,2,1,6,1,63,234,13,0,247,0,247,--,400,153,234,247,247,Algún campo sin dato,1,e24f5878a13e6f0adda3b962035f5f9d5ac64be5889a4fd4da056cb513430eb2,25/06/2023 22:39:44,ESCANER
1146,"Distrito Central",0,"Guatemala",1,86,400,7,14,88,0,0,4,0,0,2,0,6,0,2,0,0,1,0,36,2,3,3,6,0,60,234,9,2,245,0,245,--,396,151,234,245,245,Algún campo sin dato,1,d6cd2e1e5bf64c95e126268a869cccf700017c2de6e9a5efdad65370f6583fd6,26/06/2023 02:58:39,ESCANER
1147,"Distrito Central",0,"Guatemala",1,86,400,9,17,64,--,--,11,1,--,4,--,5,--,1,--,2,--,1,60,--,4,4,18,--,72,273,6,2,281,119,400,--,400,119,273,281,400,Algún campo sin dato,1,dc1e6a7a3b5a3e052a958d44473ff95c1d0e5bf31fe55373155c21de57ee1b4f,26/06/2023 00:50:11,ESCANER
1148,"Distrito Central",0,"Guatemala",1,87,400,3,11,75,0,2,12,1,1,4,0,4,0,0,0,2,0,0,66,0,1,0,7,0,50,239,5,2,246,0,246,--,400,154,239,246,246,Algún campo sin dato,1,9f6931b0a0989cd1284bf2340383003630009ded6e7ef409ab767fa649ac2e7e,25/06/2023 23:10:50,ESCANER
1149,"Distrito Central",0,"Guatemala",1,87,206,1,5,40,1,0,3,0,0,1,0,4,0,1,1,0,0,0,30,1,1,1,12,0,29,131,5,0,136,0,136,--,206,70,131,136,136,Algún campo sin dato,1,1fe07778d71679b266e618027fb12462b32824e95ba52f03ff01ba7ddeea302b,25/06/2023 22:48:26,ESCANER
1150,"Distrito Central",0,"Guatemala",1,87,206,1,6,40,0,2,8,0,0,0,0,1,0,0,0,1,0,0,10,0,0,3,9,0,25,106,4,0,110,0,110,--,206,96,106,110,110,Algún campo sin dato,1,d72fa93e73255fd5ef64fe50364708fb670111b0ce5e685ed44c170af381560d,25/06/2023 22:09:31,ESCANER
1151,"Distrito Central",0,"Guatemala",1,88,400,8,23,90,0,0,10,0,0,5,0,2,0,1,1,1,0,1,35,0,3,3,12,1,63,259,10,0,269,0,269,--,400,131,259,269,269,Algún campo sin dato,1,495ae9b16194006fe483f17ed34224e96f21d192f00cb92d83929aa16b7724d4,25/06/2023 22:58:33,ESCANER
1152,"Distrito Central",0,"Guatemala",1,88,400,13,25,104,0,1,14,3,1,5,1,7,0,1,0,1,0,0,43,0,0,0,9,0,46,274,11,3,288,0,288,--,401,113,274,288,288,Algún campo sin dato,1,9448ccc2a30fe678b3f515b34557335e08158442e2179f888f0f5562137921a6,26/06/2023 01:01:10,ESCANER
1153,"Distrito Central",0,"Guatemala",1,88,400,10,17,95,1,1,14,--,--,6,--,5,1,2,--,--,1,1,30,1,2,6,12,--,60,265,15,--,280,--,280,--,400,120,265,280,280,Algún campo sin dato,1,738425b65941b19cc481ae5750e32e083e1ac20143f6844d967f365c37629800,26/06/2023 01:20:20,ESCANER
1154,"Distrito Central",0,"Guatemala",1,88,400,11,21,89,0,1,12,1,1,5,1,4,0,1,0,0,0,1,46,1,2,3,9,0,66,275,5,1,281,0,281,--,281,116,275,281,281,Algún campo sin dato,1,11c53708f584a78b2046df30e35e387cddeba4a39db4fc31b305c3ea791cbbf3,26/06/2023 00:37:18,ESCANER
1155,"Distrito Central",0,"Guatemala",1,88,400,10,15,92,0,2,15,2,1,4,1,5,0,1,1,0,0,3,45,1,2,4,8,0,64,276,23,1,300,0,276,--,400,100,276,300,300,Sumas Asentadas sin cuadrar,1,a9d546e47e1ef481fed2edff12dbf9ad2b76ca358aa09884bc0a9d7d8d2550ac,26/06/2023 00:13:29,ESCANER
1156,"Distrito Central",0,"Guatemala",1,88,400,8,14,100,1,2,9,0,4,4,0,5,0,4,0,0,1,3,39,0,1,6,8,3,54,266,13,0,279,0,279,--,400,121,266,279,279,Algún campo sin dato,1,bac782fcb85d93d942c436a35a7ce7c7204a8e3e5e017e24e0dd8ed721583681,26/06/2023 00:25:10,ESCANER
1157,"Distrito Central",0,"Guatemala",1,88,400,7,16,110,1,3,10,0,1,2,0,8,1,3,0,0,2,0,38,2,1,2,10,1,7,285,7,1,293,0,293,--,400,104,225,233,233,Sumas Asentadas sin cuadrar,1,69d39b8751b05e0d54ae2afe2702b910e4e2496b8b4eecbbd7d5c99573e7807f,26/06/2023 01:32:43,ESCANER
1158,"Distrito Central",0,"Guatemala",1,88,400,16,24,99,0,0,8,0,3,2,0,4,1,0,0,0,2,2,29,0,9,1,10,2,66,270,10,0,280,0,280,--,400,120,278,288,288,Sumas Asentadas sin cuadrar,1,99a7e529d16dd5b13cefb9695e37c25cb8616788ae99af84a84a2aceb428c276,26/06/2023 02:06:24,ESCANER
1159,"Distrito Central",0,"Guatemala",1,88,400,7,24,93,1,2,12,1,1,6,1,1,0,1,0,1,0,0,59,1,2,2,11,1,53,280,7,0,287,0,287,--,400,113,280,287,287,Algún campo sin dato,1,9508a21baed788e839d4de921154a2c28bf2b95490964ff70f3ec1f8dbffa18b,25/06/2023 23:58:18,ESCANER
1160,"Distrito Central",0,"Guatemala",1,88,400,8,11,87,0,5,11,0,3,0,0,4,0,1,0,0,1,1,54,0,2,2,8,1,54,253,12,0,265,0,265,--,400,135,253,265,265,Algún campo sin dato,1,368e6a3243ed2e33aeaa43dbb95c71c961b94b1ccd2b28e699a7586a7d438c5b,26/06/2023 01:39:38,ESCANER
1161,"Distrito Central",0,"Guatemala",1,88,249,4,7,36,1,1,15,2,1,1,0,1,0,1,0,0,0,0,57,0,0,1,11,0,35,174,4,0,178,0,178,--,250,72,174,178,178,Algún campo sin dato,1,a79b766f104f64abe7e71ac75d1dd2d9f4dec3c5ae8c93ee003192cff1d1a09f,25/06/2023 21:30:19,ESCANER
1162,"Distrito Central",0,"Guatemala",1,88,248,6,5,22,1,1,2,0,0,2,0,3,1,2,0,0,0,0,51,0,1,2,5,2,23,129,8,1,138,0,138,--,248,110,129,138,138,Algún campo sin dato,1,0831dce5d4eaa22d298ee3b51eb863d5c3c7e681d8a7f960eb305e91270ccd98,25/06/2023 22:32:05,ESCANER
1163,"Distrito Central",0,"Guatemala",1,89,400,5,28,87,--,2,7,1,2,4,--,8,1,2,--,1,1,3,41,--,3,5,6,--,54,261,12,3,276,--,276,--,400,124,261,276,276,Algún campo sin dato,1,d361b5881739524cd4f2cd954b975638edf26db828b41b46e7a95101566921fa,26/06/2023 03:12:07,ESCANER
1164,"Distrito Central",0,"Guatemala",1,89,400,13,29,88,2,2,14,1,0,1,1,5,1,2,2,0,0,3,43,1,1,4,7,2,60,281,8,6,295,0,295,--,400,105,282,296,296,Sumas Asentadas sin cuadrar,1,544fa8de587cbd20251a9e5bf0da848d2f898184a971cbaddd3addd6a5f14e52,26/06/2023 02:24:47,ESCANER
1165,"Distrito Central",0,"Guatemala",1,89,400,13,18,106,0,4,5,1,3,5,2,6,1,2,0,1,1,2,24,0,3,7,12,0,51,267,15,7,289,0,289,--,400,111,267,289,289,Algún campo sin dato,1,dbb04da41221e75d3d538da3691aab6895350baaf13f9594aa3d8b26d9a31fa8,26/06/2023 00:20:24,ESCANER
1166,"Distrito Central",0,"Guatemala",1,89,400,9,20,87,0,19,1,1,4,6,1,3,0,1,0,1,0,1,53,1,2,1,11,0,69,291,13,1,305,0,305,--,397,92,291,305,305,Algún campo sin dato,1,a37957d004bffca612fb9ed15936997afc03dc0d5e9e95f18cdd4cfd0543f38c,25/06/2023 23:22:59,ESCANER
1167,"Distrito Central",0,"Guatemala",1,89,400,14,19,106,1,1,6,0,1,3,0,5,2,2,0,1,2,4,37,0,3,3,7,1,66,284,15,1,300,0,300,--,399,99,284,300,300,Algún campo sin dato,1,307c44842428dbc0890b478b8721c22ff476e3652ceb8ecb898d8771d5c67af7,26/06/2023 00:39:37,ESCANER
1168,"Distrito Central",0,"Guatemala",1,89,400,10,23,94,0,4,11,0,2,8,1,5,0,1,0,0,0,1,49,1,2,2,7,1,81,303,12,2,317,0,317,--,393,76,303,317,317,Algún campo sin dato,1,b144dd18eafa50395bf453ccf1ce2d1f1004851e5696cbbc20c919180aad1db8,26/06/2023 01:45:20,ESCANER
1169,"Distrito Central",0,"Guatemala",1,89,400,10,25,99,2,1,9,1,3,4,1,4,0,3,0,1,1,1,38,4,3,5,6,2,67,290,11,0,301,0,301,--,400,99,290,301,301,Algún campo sin dato,1,e653053d01b1367d16d56c9c13cd006467cb373f43ae2d96f9bb64c85fa5c699,25/06/2023 22:54:41,ESCANER
1170,"Distrito Central",0,"Guatemala",1,89,400,17,11,87,0,3,11,1,0,4,0,7,1,3,1,0,1,2,42,2,2,3,9,3,66,276,16,3,295,0,295,--,400,104,276,295,295,Algún campo sin dato,1,c392fb3ebdd2b7db3afc0b01f39b9e0ce0c3be3b20dc4f587953f5030176c186,25/06/2023 23:10:39,ESCANER
1171,"Distrito Central",0,"Guatemala",1,89,400,6,27,82,1,4,7,3,1,4,0,10,1,1,1,3,0,1,36,1,4,11,7,2,67,280,15,0,295,0,295,--,400,105,280,295,295,Algún campo sin dato,1,9a2254b1638ba92fd796a65e4b8064cf1f37c7a5ae60233555e7b2225e817eda,26/06/2023 02:12:42,ESCANER
1172,"Distrito Central",0,"Guatemala",1,89,400,9,19,73,0,1,10,0,0,2,2,6,0,3,0,0,1,5,42,1,2,3,9,0,54,242,12,8,262,0,262,--,404,142,242,262,262,Algún campo sin dato,1,59f57e2765c05196f05d21ad60a4a1f8ca0e67a19354b1af935779ed5345059e,26/06/2023 03:17:27,ESCANER
1173,"Distrito Central",0,"Guatemala",1,89,400,13,22,64,1,2,14,0,2,5,0,3,0,1,0,1,0,2,63,0,1,4,10,0,57,165,9,5,279,0,279,--,400,121,265,279,279,Sumas Asentadas sin cuadrar,1,c14aad8985d01ebdd4cb5f2790f3a0aab97b150f6373fbe5f06fa9dd0b174eef,26/06/2023 02:02:34,ESCANER
1174,"Distrito Central",0,"Guatemala",1,89,400,15,19,76,0,2,12,1,1,5,0,3,0,3,0,0,0,0,0,2,4,5,10,0,59,267,15,5,287,0,287,--,396,109,217,237,237,Sumas Asentadas sin cuadrar,1,f7c1edf1931654719a1f32a010ed367c6d26fd79e5c3d76bd9a445ba6703e722,26/06/2023 02:13:46,ESCANER
1175,"Distrito Central",0,"Guatemala",1,89,400,8,22,79,0,0,10,3,2,8,1,1,2,2,0,0,0,2,57,2,2,5,13,0,66,285,10,1,296,0,296,--,400,104,285,296,296,Algún campo sin dato,1,da45f81884f2b88ab20b506ca3e49628205bf0984333821be5bca85f13ed442a,26/06/2023 02:06:59,ESCANER
1176,"Distrito Central",0,"Guatemala",1,89,400,11,17,78,1,2,13,0,2,5,0,2,1,1,1,1,0,3,53,0,0,1,10,4,79,285,4,2,291,0,291,--,400,109,285,291,291,Algún campo sin dato,1,0aac91be4e16c3230312827c27a65923976533d893d357dfef43a490b0bbf17d,26/06/2023 00:50:53,ESCANER
1177,"Distrito Central",0,"Guatemala",1,89,400,14,19,56,0,2,0,0,1,6,0,3,0,2,0,0,0,0,40,0,1,4,14,1,75,275,8,7,290,0,290,--,396,106,238,253,253,Sumas Asentadas sin cuadrar,1,6229c6a2c8b565c22b94fd9402d4f7df32b1498f70d267134e7b6d589c75f60a,26/06/2023 06:05:28,ESCANER
1178,"Distrito Central",0,"Guatemala",1,89,400,15,20,103,0,3,5,0,2,7,1,3,0,1,0,0,0,2,42,1,0,3,4,1,70,283,8,0,291,0,291,--,400,109,283,291,291,Algún campo sin dato,1,68ce599a6faecd75b08dcf7623e2bc1c673079bccc1122410afa36e8724d792d,26/06/2023 03:19:10,ESCANER
1179,"Distrito Central",0,"Guatemala",1,89,400,18,22,84,0,1,8,0,3,6,0,8,1,4,0,0,1,1,46,0,3,2,8,1,56,273,19,4,296,0,296,--,400,104,273,296,296,Algún campo sin dato,1,72db2152cfee0f89ab2bd8028b9ce1fe733bdd55a5c826cc3b7a5c68df1e523e,26/06/2023 02:35:14,ESCANER
1180,"Distrito Central",0,"Guatemala",1,89,400,13,18,78,0,1,10,0,2,5,1,2,1,3,0,0,0,1,58,0,3,4,10,0,82,292,8,3,303,0,303,--,400,97,292,303,303,Algún campo sin dato,1,9cb6f46d981447efaad62630f4253fcb917202353103ac2fcb6c1efa6020a164,26/06/2023 02:28:29,ESCANER
