TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 08:27 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
2023,2023,100.0000,2015,99.6045,8,828382,464008,56.0137

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNE,VALOR UNIONISTA,PR,CAMBIO,AZUL,MLP,VICTORIA,VAMOS,PHG,BIEN,UR,P A N,PIN,FCN-NACION,COMITE CIVICO LA GOTA DE AGUA,PPN,FOPPA X LA CIUDAD,MI FAMILIA,CABAL,VIVA,PODEMOS,PODER,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
25,"Distrito Central",0,"Guatemala",1,3,400,10,17,53,1,5,5,1,7,1,1,4,1,3,0,0,0,1,61,1,2,4,14,0,41,233,8,0,241,0,241,--,397,156,233,241,241,Algún campo sin dato,1,a1ea91a68cbe92215ff68825f5dedbe444a33b0e85d08eff3a05089f696b520b,26/06/2023 03:19:00,ESCANER
26,"Distrito Central",0,"Guatemala",1,3,400,13,8,42,0,2,3,2,3,8,2,5,0,5,1,1,0,0,61,1,4,1,23,0,34,222,17,0,239,0,239,--,397,158,219,236,236,Sumas Asentadas sin cuadrar,1,2222bf3f60ed0f7f0781fde724a2335603b0bf57c8a2507d935a68b3efb94f50,26/06/2023 02:53:28,ESCANER
27,"Distrito Central",0,"Guatemala",1,3,400,17,13,36,0,2,7,0,2,1,1,2,1,0,0,0,1,2,52,0,1,0,22,0,54,214,17,1,232,0,232,--,400,168,214,232,232,Algún campo sin dato,1,447ea3eaefc2b00e559bfa58997aec61c460e76f2108b9c1f08659d642411459,26/06/2023 01:43:03,ESCANER
28,"Distrito Central",0,"Guatemala",1,3,400,14,15,54,1,4,5,1,5,1,0,4,3,2,1,1,0,2,37,2,0,3,7,1,42,205,16,4,225,0,225,--,400,175,205,225,225,Algún campo sin dato,1,142511a2610059a7068cff4bc9ffe6c4ab7452c279c40e998ce2826d63c04098,26/06/2023 01:27:15,ESCANER
29,"Distrito Central",0,"Guatemala",1,3,400,11,16,56,2,2,3,2,10,5,0,2,0,2,0,1,0,4,39,1,0,5,10,1,37,211,16,0,227,0,227,--,400,173,209,225,225,Sumas Asentadas sin cuadrar,1,3e6bc21bda65a15d3dbb86e18fd3a957a3e41e6a8bd7d4e15bc4569c3784a5e0,26/06/2023 02:16:51,ESCANER
30,"Distrito Central",0,"Guatemala",1,3,400,8,19,60,0,6,5,2,8,5,2,3,0,4,0,2,0,2,44,1,1,4,9,0,46,231,15,0,246,0,246,--,400,154,231,246,246,Algún campo sin dato,1,aaa733750b66aca1d3e1b9eb29d7ff2db220645bbc49ee061ceb04b832f9aebf,26/06/2023 02:31:37,ESCANER
31,"Distrito Central",0,"Guatemala",1,3,400,14,12,65,0,2,8,2,10,5,2,3,0,1,0,1,0,4,48,1,4,5,9,2,45,243,10,1,254,0,254,--,400,146,243,254,254,Algún campo sin dato,1,7a4d89fb1a4a086fff6186c0df525e528e6beb3247d4aa4045a91cba0af3f6a4,26/06/2023 01:52:14,ESCANER
32,"Distrito Central",0,"Guatemala",1,3,400,13,16,70,0,3,5,1,6,4,1,0,0,2,2,2,0,5,38,0,1,5,4,0,46,224,16,2,242,0,242,--,400,158,224,242,242,Algún campo sin dato,1,2fcccd3bee5b70b6a7ec039159a311b5d48c08065b6dfdadfdae237d2a5160c4,25/06/2023 23:25:00,ESCANER
33,"Distrito Central",0,"Guatemala",1,4,400,9,14,43,0,5,8,4,3,8,2,0,1,2,0,0,0,3,35,1,1,3,15,2,47,206,20,0,226,0,226,--,400,174,206,226,226,Algún campo sin dato,1,a528bb87ea13a1aee894031741f164e496cca474957c6906bf04faa6be7c403c,26/06/2023 05:57:04,ESCANER
34,"Distrito Central",0,"Guatemala",1,4,400,11,12,57,0,4,11,1,6,5,1,1,1,1,0,1,1,1,35,2,1,1,10,0,56,219,20,0,239,0,239,--,402,163,219,239,239,Algún campo sin dato,1,2b6c27198bac32c57be1c8555836c2f172887a058153ced6e4c65adf6e4399d0,26/06/2023 01:14:21,ESCANER
